,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
962,Ambroise Thomas,Ambroise Thomas,أمبرواز توماس,安布鲁瓦兹·托马斯,安布魯瓦茲·托馬斯,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,एम्ब्रोज़ थॉमस,Ambroise Thomas,Ambroise Thomas,암브로이스 토마스,アンブロワーズ・トマ,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Амбруаз Тома,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas,Ambroise Thomas
963,Zequinha de Abreu,Zequinha de Abreu,زيكينيا دي أبرو,泽昆哈·阿布鲁,德昆哈·阿布魯,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,ज़ीक्विन्हा डे अब्रू,Zequinha de Abreu,Zequinha de Abreu,제키냐 데 아브레우,ゼキーニャ・ジ・アブレウ,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinh de Abreu,Zequinh de Abreu,Зекинья Абреу,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu,Zequinha de Abreu
964,Nino Rota,Nino Rota,نينو روتا,尼诺·罗塔,尼諾·羅塔,Nino Rota,Nino Rota,Nino -rota,Nino Rota,Nino Rota,नीनो रोटा,Nino Rota,Nino Rota,니노 로타,ニーノ・ロータ,Nino Rota,Nino Rota,Nino Rota,Nino rota,Nino rota,Nino Rota,Rota de nino,Ninoarror,Nino Rota,Nino rota,Nino Rota,Nino rota
965,Craig David,Craig David,كريج ديفيد,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,क्रेग डेविड,Craig David,Craig David,크레이그 데이비드,クレイグ・デイヴィッド,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David,Craig David
966,George W. Warren,George W. Warren,جورج وارن,沃伦,沃倫,George W. Warren,George W. Warren,George W. Warren,George W. Warren,George W. Warren,जॉर्ज डब्ल्यू वॉरेन,George W. Warren,George W. Warren,조지 W. 워렌,ジョージ・W・ウォーレン,George W. Warren,George W. Warren,George W. Warren,George W. Warren,George W. Warren,Джордж У. Керриган,George W. Warren,George W. Warren,George W. Warren,George W. Warren,George W. Warren,George W. Warren
967,Ernest Gillet,Ernest Gillet,إرنست جيليت,盖里,蓋里,Ernest Gillet,Ernest Gillet,Ernest Gillet,Ernest Gillet,Ernest Gillet,अर्नेस्ट गिलेट,Ernest Gillet,Ernest Gillet,어니스트 질레,エルネスト・ジエ,Ernest Gillet,Ernest Gillet,Ernest Gillet,Ernest Gillet,Ernest Gillet,Эрнест Жилле,Ernest Gillet,Ernest Gillet,เออร์เนสต์กิลเล็ต,Ernest Gillet,Ernest Gillet,Ernest Gillet
968,Adolf Jensen,Adolf Jensen,أدولف جنسن,阿道夫·詹森,阿道夫·詹森,Adolf Jensen,Adolf Jensen,Adolf Jensen,Adolf Jensen,Adolf Jensen,एडोल्फ जेन्सेन,Adolf Jensen,Adolf Jensen,아돌프 젠슨,アドルフ・イェンゼン,Adolf Jensen,Adolf Jensen,Adolf Jensen,Adolf Jensen,Adolf Jensen,Адольф Йенсен,Adolf Jensen,Adolf Jensen,อดอล์ฟเจนเซ่น,Adolf Jensen,Adolf Jensen,Adolf Jensen
969,Indonesian Folk Song,Indonesian Folk Song,الأغنية الشعبية الاندونيسية,印尼民谣,印尼民謠,Indonesisch volkslied,Indonesian Folk Song,Indonesian kansanlaulu,Chanson folk indonésienne,Indonesischer Folk,इंडोनेशियाई लोक गीत,Lagu Rakyat Indonesia,Canzone popolare indonesiana,인도네시아 민요,インドネシア民謡,Lagu rakyat Indonesia,Indonesisk folkesang,Indonezyjska piosenka ludowa,Música folclórica indonésia,Música folclórica indonésia,Индонезийская народная песня,Canción popular indonesia,Indonesisk folksång,เพลงพื้นบ้านชาวอินโดนีเซีย,Endonezya halk şarkısı,Endonezya Halk Şarkısı,Bài hát dân gian Indonesia
970,H. Brinley Richards,H. Brinley Richards,ه. برينلي ريتشاردز,亨利·理查兹布林利,亨利·理查茲布林利,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,एच। ब्रिनली रिचर्ड्स,,H. Brinley Richards,H. 브린리 리차드,ヘンリー・ブリンレイ・リチャ－ズ,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,Генри Бринли Ричардс,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards,H. Brinley Richards
971,Benjamin Godard,Benjamin Godard,بنيامين غودار,本杰明·戈达尔,本傑明·戈達爾,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,बेंजामिन गोडार्ड,Benjamin Godard,Benjamin Godard,벤자민 고다르,バンジャマン・ゴダール,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,Бенжамен Годар,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard,Benjamin Godard
972,Leo Delibes,Leo Delibes,ليو ديليبس,莱奥·德利布,萊奧·德利布,Leo Delibes,Leo Delibes,Leo Delibes,Leo Delibes,Leo Delibes,लियो डेलीब्स,Leo Delibes,Leo delibes,레오 델리브,レオ・ドリーブ,Leo Delibes,Leo Delibes,Leo Delibes,Leo Delibes,Leo Delibes,Лео Делиб,Delibes de Leo,Leo Delibes,Leo Delibes,Leo tasfiye,Leo Delibes,Leo Delibes
973,Chen-Chen Ho,Chen-Chen Ho,حو تشين تشين,何真真,何真真,Chen-chen ho,Chen-Chen Ho,Chen-chen ho,Chen-Chen Ho,Chen-Chen Ho,चेन-चेन हो,Chen-Chen Ho,Chen-Chen Ho,첸-첸 호,何真真,Chen-Chen Ho,Chen-Chen Ho,Chen-chen ho,Chen-Chen Ho,Chen-Chen Ho,Чен-Чен Хо,Chen-Chen Ho,Chen-chen ho,Chen-Chen Ho,Chen-Chen Ho,Chen-Chen Ho,Chen-chen ho
974,Stephen Heller,Stephen Heller,ستيفن هيلر,斯蒂芬·海勒,斯蒂芬·海勒,Stephen Heller,Stephen Heller,Stephen Heller,Stephen Heller,Stephen Heller,स्टीफन हेलर,Stephen Heller,Stephen Heller,스티븐 헬러,ステファン・ヘラー,Stephen Heller,Stephen Heller,Stephen Heller,Stephen Heller,Stephen Heller,Стефан Хеллер,Stephen Heller,Stephen Heller,สตีเฟ่นเฮลเลอร์,Stephen Heller,Stephen Heller,Stephen Heller
975,Genari Karganov,Genari Karganov,جانري كقنوف,卡岗诺夫,卡崗諾夫,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,जेनरी करगनोव,Genari Karganov,Genari Karganov,제나리 카르가노프,ゲナーリ・カルガノフ,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,Генари Карганов,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov,Genari Karganov
976,Gustav Lange,Gustav Lange,غوستاف لانج,古斯塔夫·兰格,古斯塔夫·蘭格,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,गुस्ताव लैंग,Gustav Lange,Gustav Lange,구스타프 랑게,グスタフ・ランゲ,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,Густав Ланге,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange,Gustav Lange
977,J.S. Bach,J.S. Bach,جي اس باخ,J.S. 巴赫,J.S. 巴赫,J.S. Bach,J.S. Bach,J.S. Bach,J.S. Bach,J.S. Bach,जे.एस. बाख,J.S. Bach,J.S. Bach,J.S. 바하,J.S. バッハ,J.S. Bach,J.S. Bach,J.S. Kawaler,J.S. Bach,J.S. Bach,И. С. Бах,J.S. Llevar una vida de soltero,J.S. Bach,J.S. บัค,J.S. Bach,J.S. Bach,J.S. Bach
978,The Daydream,The Daydream,أحلام اليقظة,白日梦,白日夢,De dagdroom,The Daydream,Unelma,La rêverie,The Daydream,दिवास्वप्न,Lamunan,Il sogno ad occhi aperti,백일몽,白昼夢,The Daydream,Dagdrømmen,Marzenie,O sonho,O sonho,Мечта,El sueño,Dagdrömmen,ฝันกลางวัน,Daydream,The Daydream,Daydream
979,Firefly,Firefly,اليراع,萤火虫,螢火蟲,Glimworm,Firefly,Tulikärpänne,Luciole,Firefly,जुगनू,Firefly,Lucciola,Firefly,ファイアフライ,Firefly,ildflue,Robaczek świętojański,Firefly,Firefly,Светлячок,Luciérnaga,Eldfluga,หิ่งห้อย,Ateşböceği,Firefly,con đom đóm
980,You Xue-zhi,You Xue-zhi,يو شيويه تشى,游学志,遊學志,Jij xue-zhi,You Xue-zhi,Sinä xue-zhi,Toi xue-zhi,You Xue-zhi,आप xue-zhi,Anda Xue-Zhi,Tu xue-zhi,You Xue-zhi,游学志,Anda Xue-Zhi,Du Xue-Zhi,Ty xue-zhi,Você xue-zhi,Você xue-zhi,Ю Сечжи,Tu xue-zhi,Du xue-zhi,คุณ xue-zhi,Sen xue-zhi,You Xue-zhi,Bạn Xue-Zhi
981,Handsome,Handsome,وسيم,曾帅,曾帥,Knap,Handsome,Komea,Beau,Handsome,आकर्षक,Tampan,Bello,Handsome,ハンサム,Kacak,Kjekk,Przystojny,Bonito,Bonito,Красавчик,Elegante,Stilig,หล่อ,Yakışıklı,Handsome,Đẹp trai
982,Pianoboy,Pianoboy,ولد بيانو,高至豪,高至豪,Pianoboy,Pianoboy,Pianoboy,Pianoboy,Klavier-Junge,पियानोबॉय,Pianoboy,Pianoboy,Pianoboy,ピアノボーイ,Pianoboy,Pianoboy,Pianoboy,Pianoboy,Pianoboy,Мальчик-пианист,Pianoboy,Pianoboy,เปียโน,Pianoboy,Pianoboy,Pianoboy
983,Sean,Sean,شون,张康明,張康明,Sean,Sean,Sean,Sean,Sean,शॉन,Sean,Sean,션,ショーン,Sean,Sean,Sean,Sean,Sean,Шон,Sean,Hylsa,ฌอน,Sean,Sean,Sean
984,Pi,Pi,باي,侯湃,侯湃,Pi,Pi,Pito,Pi,Pi,अनुकरणीय,Pi,Pi,Pi,Pi,Pi,Pi,Liczba Pi,Pi,Pi,Пи,Pi,Pi,PI,Pi,Pi,Số Pi
985,Adapted by Pi,Adapted by Pi,إعادة الصياغة من باي,侯湃改编,侯湃改編,Aangepast door PI,Adapted by Pi,Pi: n mukauttama,Adapté par pi,Verarbeitet von Pi,पाई द्वारा अनुकूलित,Diadaptasi oleh pi,Adattato da pi,Pi 각색,Piの改作,Diadaptasi oleh PI,Tilpasset av Pi,Zaadaptowane przez PI,Adaptado por pi,Adaptado por pi,Pi《Приспособленный》,Adaptado por Pi,Anpassad av Pi,ดัดแปลงโดย pi,PI tarafından uyarlandı,Pi tarafından uyarlama,Chuyển thể bởi PI
986,TFBOYS,TFBOYS,TFBOYS,TFBOYS,TFBOYS,Tfboys,TFBOYS,Tfboys,Tfboys,TFBOYS,TFBoys,Tfboys,Tfboys,TFBOYS,TFBOYS,Tfboys,Tfboys,Tfboys,Tfboys,Tfboys,TFBOYS,Tfboys,Tfboys,tfboys,Tfboys,TFBOYS,TFBOYS
987,Theodore Lack,Theodore Lack,ثيودور لاك,西奥多·拉克,西奧多·拉克,Theodore ontbreekt,Theodore Lack,Theodore puuttuu,Theodore manque,Theodore Lack,थियोडोर की कमी,Theodore Lack,Manca di Theodore,시어도어 랙,テオドール・ラック,Kekurangan Theodore,Theodore mangel,Brak Theodore,Theodore Lack,Theodore Lack,Теодор Лэк,Falta de Theodore,Theodore Lack,Theodore ขาด,Theodore eksikliği,Theodore Lack,Theodore thiếu
988,Brinley Richards,Brinley Richards,بريلني ريتشاردز,布林利·理查兹,布林利·理查茲,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,ब्रिनली रिचर्ड्स,Brinley Richards,Brinley Richards,브린리 리차드,ブリンレイ・リチャーズ,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,Бринли Ричардс,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards,Brinley Richards
989,Ivan Castro,Ivan Castro,إيفان كاسترو,伊凡·卡斯特罗,伊凡·卡斯特羅,Ivan Castro,Ivan Castro,Ivan Castro,Ivan Castro,Ivan Castro,इवान कास्त्रो,Ivan Castro,Ivan Castro,이반 카스트로,イヴァン・カストロ,Ivan Castro,Ivan Castro,Ivan Castro,Ivan Castro,Ivan Castro,Иван Кастро,Ivan Castro,Ivan Castro,อีวานคาสโตร,Ivan Castro,Ivan Castro,Ivan Castro
990,Julius Fucik,Julius Fucik,يوليوس فوسيك,朱利叶斯·伏契克,朱利葉斯·伏契克,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fucik,जूलियस फुकिक,Julius Fucik,Julius Fucik,줄리어스 푸식,ユリウス・フチーク,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fucik,Юлиус Фучик,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fucik,Julius Fučík,Julius Fucik
991,Leon Jessel,Leon Jessel,ليون جيسيل,莱昂·杰塞尔,萊昂·傑塞爾,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,लियोन जेसल,Leon Jessel,Leon Jessel,레온 제셀,レオン・イェッセル,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,Леон Джессел,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel,Leon Jessel
992,Jan Ladislav Dussek,Jan Ladislav Dussek,جيان لاديسلاف دوسيك,扬·杜舍克,揚·杜舍克,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,जान लादिस्लाव डसेक,Jan Ladislav Dussek,Jan Ladislav Dussek,얀 라디슬라프 두스크,ヤン・ラディスラフ・ドゥシーク,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Ян Ладислав Дюссек,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek,Jan Ladislav Dussek
993,Cesar Franck,Cesar Franck,القيصر فرانك,赛萨尔·弗兰克,賽薩爾·弗蘭克,Cesar Franck,Cesar Franck,Cesar Franck,Cesar Franck,Cesar Franck,सीज़र फ्रेंक,Cesar Franck,Cesar Franck,세자르 프랑크,セザール・フランク,Cesar Franck,Cesar Franck,Cesar Franck,Cesar Franck,Cesar Franck,Сезар Франк,Cesar Franck,Cesar Franck,Cesar Franck,Cesar Franck,César Franck,Cesar Franck
994,Anton Rubinstein,Anton Rubinstein,انطون روبنشتاين,安东·鲁宾斯坦,安東·魯賓斯坦,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,एंटोन रूबिनस्टीन,Anton Rubinstein,Anton Rubinstein,안톤 루빈스타인,アントン・ルビンシテイン,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Антон Рубинштейн,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein,Anton Rubinstein
995,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,蓬基耶利,蓬基耶利,Amilcare ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,अमिलकेयर पोंचिल्ली,Amilcare Ponchielli,Amilcare Ponchielli,아밀케어 폰치엘리,アミルカーレ・ポンキエルリ,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Амилкаре Понкьелли,Amilcare ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli,Amilcare Ponchielli
996,Francois Couperin,Francois Couperin,فرانسوا كوبرين,弗朗索瓦·库普兰,弗朗索瓦·庫普蘭,Francois couperin,Francois Couperin,Francois Couperin,Francois couperin,Francois Couperin,फ्रेंकोइस कोपरिन,Francois Couperin,Francois Couperin,프랑수아 쿠페린,フランソワ・クープラン,Francois Couperin,Francois Couperin,Francois Coperin,François Couperin,François Couperin,Франсуа Куперен,Francois Couperin,Francois couperin,Francois Couperin,Francois Couperin,François Couperin,Francois Couperin
997,Jean Gabriel Marie,Jean Gabriel Marie,جان ماري غابرييل,加布里​​埃尔·玛丽,加布里​​埃爾·瑪麗,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,जीन गेब्रियल मैरी,Jean Gabriel Marie,Jean Gabriel Marie,장 가브리엘 마리,ジャン・ガブリエル・マリ,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Жан Габриэль Мари,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie,Jean Gabriel Marie
998,Louis Moreau Gottschalk,Louis Moreau Gottschalk,لويس مورو جوتشالك,路易·莫罗戈特沙尔克,路易·莫羅戈特沙爾克,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,लुई मोरो गोट्सचालक,Louis Moreau Gottschalk,Louis Moreau Gottschalk,루이 모로 고트초크,ルイス・モロー・ゴットシャルク,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Луи Моро Готтшальк,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk,Louis Moreau Gottschalk
999,Jules Massenet,Jules Massenet,جولس ماسنت,儒勒·马斯内,儒勒·馬斯內,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,जूल्स मैसनेट,Jules Massenet,Jules Massenet,줄스 마세넷,ジュール・マスネ,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,Жюль Массне,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet,Jules Massenet
1000,J.E. Jonasson,J.E. Jonasson,جي يي جونسان,乔纳森,喬納森,J.E. Jonasson,J.E. Jonasson,J. E. Jonasson,J.E. Jonasson,J.E. Jonasson,जे.ई.,J.E. Jonasson,J.E. Jonasson,요나손,ヨハン・エマヌエル・ヨナーソン,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,Ж. Е. Йонассон,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson,J.E. Jonasson
1001,Vasily Agapkin,Vasily Agapkin,فاسيلي عقبكين,瓦西里·阿伽普庚,瓦西里·阿伽普庚,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,वासिली एगापकिन,Vasily Agapkin,Vasily Agapkin,바실리 아가프킨,ワシリー・アガプキン,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Василий Агапкин,Vasily Agapkin,Vasily agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin,Vasily Agapkin
1002,August Labitzky,August Labitzky,أغسطسلابيتزكي,拉比斯基,拉比斯基,Augustus Labitzky,August Labitzky,Elokuu Labitzky,Août Labitzky,August Labitzky,अगस्त लेबिट्ज़की,Agustus Labitzky,August Labitzky,어거스트 라비츠키,アウグスト・ラビツキー,August Labitzky,August Labitzky,August Labitzky,Agosto Labitzky,Agosto Labitzky,August Labitzky,August Labitzky,Augusti labitzky,August Labitzky,Ağustos Labitzky,August Labitzky,Tháng 8 Labitzky
1003,Alfred Margis,Alfred Margis,ألفريدمارغيس,阿尔弗雷德·马基思,阿爾弗雷德·馬基思,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,अल्फ्रेड मार्गिस,Alfred Margis,Alfred Margis,알프레드 마지스,アルフレッド・マージス,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,Альфред Маргис,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,Alfred Margis,Biên độ Alfred
1004,Alphons Czibulka,Alphons Czibulka,ألفونسزيبولكا,阿尔方斯·西波尔卡,阿爾方斯·西波爾卡,Alphons Czibulka,Alphons Czibulka,Alphons czibulka,Alphons Czibulka,Alphons Czibulka,अल्फोंस कज़िबुलका,Alphons Czibulka,Alfons Czibulka,알폰스 치불카,アルフォンス・ツィブルカ,Alphons Czibulka,Alphons Czibulka,Alfonów Czibulka,Alphons Czibulka,Alphons Czibulka,Альфонс Цибулька,Alfones czibulka,Alphons czibulka,ตัวอักษร Czibulka,Alphons Czibulka,Alphons Czibulka,Bảng chữ cái Czibulka
